Counter,Channel1,Channel2
413,1518,1644
414,1455,1615
415,1481,1613
416,1512,1583
417,1499,1613
418,1496,1645
419,1456,1599
420,1513,1630
421,1496,1614
422,1502,1615
423,1535,1643
424,1558,1645
425,1465,1594
426,1484,1613
427,1530,1643
428,1502,1583
429,1483,1577
430,1511,1599
431,1452,1608
432,1450,1598
433,1518,1629
434,1576,1608
435,1544,1607
436,1516,1599
437,1528,1612
438,1547,1574
439,1519,1578
440,1497,1595
441,1515,1614
442,1499,1592
443,1468,1577
444,1479,1576
445,1502,1550
446,1515,1560
447,1485,1550
448,1527,1581
449,1518,1614
450,1485,1581
451,1467,1579
452,1528,1534
453,1545,1565
454,1496,1563
455,1499,1582
456,1544,1614
457,1561,1608
458,1504,1592
459,1496,1596
460,1513,1609
461,1544,1580
462,1501,1578
463,1527,1576
464,1565,1550
465,1450,1563
466,1513,1596
467,1527,1609
468,1531,1577
469,1564,1606
470,1528,1595
471,1532,1566
472,1563,1550
473,1499,1515
474,1498,1486
475,1503,1499
476,1518,1512
477,1561,1514
478,1530,1479
479,1534,1450
480,1576,1463
481,1545,1464
482,1550,1440
483,1529,1467
484,1483,1437
485,1545,1422
486,1548,1448
487,1498,1424
488,1486,1435
489,1545,1452
490,1565,1486
491,1596,1501
492,1581,1452
493,1534,1450
494,1564,1483
495,1564,1451
496,1499,1454
497,1514,1447
498,1513,1421
499,1500,1432
500,1534,1454
501,1562,1469
502,1544,1464
503,1560,1483
504,1577,1518
505,1613,1519
506,1564,1482
507,1517,1433
508,1528,1451
509,1534,1468
510,1549,1480
511,1565,1481
512,1530,1447
513,1502,1484
514,1514,1496
515,1551,1469
516,1576,1435
517,1560,1484
518,1545,1483
519,1499,1499
520,1544,1496
521,1516,1452
522,1533,1484
523,1534,1501
524,1534,1512
525,1546,1470
526,1567,1495
527,1551,1512
528,1532,1484
529,1567,1518
530,1575,1545
531,1514,1512
532,1533,1528
533,1528,1514
534,1562,1545
535,1575,1518
536,1565,1516
537,1520,1501
538,1517,1513
539,1533,1527
540,1551,1531
541,1551,1530
542,1549,1511
543,1559,1528
544,1560,1520
545,1549,1512
546,1547,1496
547,1527,1483
548,1548,1512
549,1548,1528
550,1530,1529
551,1545,1549
552,1563,1535
553,1576,1532
554,1576,1515
555,1581,1515
556,1598,1520
557,1591,1511
558,1560,1501
559,1550,1518
560,1563,1530
561,1564,1544
562,1565,1517
563,1561,1502
564,1563,1534
565,1565,1514
566,1564,1515
567,1567,1513
568,1568,1515
569,1563,1514
570,1551,1500
571,1548,1529
572,1546,1528
573,1562,1530
574,1578,1529
575,1575,1527
576,1568,1515
577,1559,1527
578,1546,1519
579,1546,1514
580,1560,1517
581,1561,1517
582,1562,1530
583,1549,1545
584,1550,1531
585,1563,1528
586,1550,1512
587,1545,1534
588,1545,1530
589,1550,1531
590,1534,1544
591,1530,1546
592,1528,1533
593,1528,1533
594,1531,1534
595,1564,1551
596,1565,1547
597,1549,1545
598,1530,1529
599,1516,1527
600,1513,1529
601,1517,1552
602,1528,1531
603,1551,1546
604,1547,1545
605,1559,1544
606,1552,1535
607,1545,1544
608,1533,1536
609,1529,1529
610,1544,1546
611,1531,1548
612,1532,1549
613,1544,1546
614,1547,1535
615,1566,1545
616,1548,1531
617,1534,1544
618,1544,1532
619,1546,1529
620,1549,1535
621,1560,1534
622,1565,1528
623,1559,1532
624,1549,1535
625,1550,1531
626,1536,1516
627,1516,1517
628,1514,1514
629,1532,1518
630,1533,1532
631,1550,1517
632,1549,1512
633,1536,1533
634,1530,1563
635,1532,1566
636,1527,1568
637,1514,1566
638,1517,1562
639,1518,1576
640,1503,1592
641,1516,1610
642,1529,1612
643,1518,1611
644,1530,1611
645,1530,1624
646,1520,1613
647,1503,1611
648,1499,1608
649,1498,1593
650,1516,1611
651,1499,1598
652,1500,1611
653,1500,1611
654,1497,1595
655,1496,1597
656,1471,1593
657,1468,1599
658,1470,1593
659,1468,1582
660,1480,1595
661,1469,1608
662,1466,1590
663,1479,1593
664,1481,1597
665,1484,1608
666,1485,1609
667,1481,1595
668,1469,1608
669,1464,1591
670,1469,1592
671,1472,1599
672,1467,1614
673,1455,1610
674,1464,1594
675,1482,1593
676,1486,1599
677,1481,1607
678,1469,1593
679,1465,1600
680,1465,1607
681,1466,1609
682,1456,1597
683,1447,1579
684,1448,1592
685,1436,1594
686,1450,1594
687,1433,1595
688,1418,1564
689,1402,1567
690,1405,1583
691,1416,1596
692,1401,1591
693,1416,1592
694,1418,1595
695,1422,1582
696,1416,1560
697,1404,1567
698,1400,1577
699,1390,1564
700,1404,1561
701,1402,1560
702,1387,1563
703,1404,1576
704,1417,1581
705,1420,1579
706,1407,1576
707,1406,1578
708,1401,1566
709,1372,1577
710,1368,1581
711,1367,1583
712,1359,1578
713,1367,1583
714,1384,1581
715,1416,1582
716,1438,1580
717,1436,1563
718,1440,1561
719,1437,1574
720,1438,1594
721,1465,1598
722,1453,1579
723,1497,1576
724,1519,1577
725,1528,1583
726,1513,1581
727,1517,1566
728,1532,1564
729,1559,1560
730,1578,1565
731,1582,1580
732,1593,1580
733,1629,1577
734,1688,1561
735,1710,1562
736,1719,1561
737,1711,1565
738,1726,1550
739,1711,1536
740,1706,1563
741,1759,1566
742,1835,1567
743,1887,1548
744,1928,1550
745,1963,1536
746,1978,1532
747,1976,1549
748,1993,1543
749,2030,1544
750,2059,1560
751,2064,1566
752,2092,1548
753,2105,1546
754,2106,1561
755,2124,1564
756,2104,1561
757,2076,1535
758,2075,1547
759,2122,1545
760,2168,1568
761,2188,1583
762,2201,1576
763,2191,1594
764,2222,1565
765,2266,1534
766,2239,1559
767,2280,1563
768,2319,1561
769,2315,1565
770,2318,1567
771,2319,1561
772,2360,1560
773,2383,1559
774,2381,1575
775,2380,1578
776,2395,1566
777,2411,1561
778,2396,1576
779,2392,1577
780,2392,1564
781,2429,1577
782,2441,1567
783,2456,1579
784,2441,1567
785,2456,1583
786,2461,1567
787,2479,1591
788,2494,1591
789,2496,1576
790,2477,1576
791,2504,1593
792,2508,1578
793,2521,1581
794,2555,1598
795,2571,1591
796,2570,1566
797,2526,1579
798,2537,1546
799,2478,1566
800,2507,1592
801,2553,1595
802,2539,1592
803,2527,1596
804,2520,1562
805,2536,1564
806,2557,1575
807,2590,1614
808,2586,1596
809,2536,1596
810,2537,1592
811,2556,1612
812,2572,1610
813,2569,1598
814,2538,1592
815,2537,1600
816,2540,1597
817,2519,1596
818,2540,1599
819,2524,1583
820,2523,1610
821,2553,1663
822,2526,1641
823,2527,1623
824,2557,1630
825,2588,1645
826,2555,1640
827,2521,1623
828,2536,1647
829,2552,1639
830,2554,1646
831,2541,1662
832,2510,1640
833,2504,1641
834,2509,1642
835,2523,1647
836,2521,1643
837,2491,1656
838,2502,1615
839,2491,1615
840,2477,1629
841,2474,1658
842,2445,1615
843,2463,1593
844,2487,1615
845,2447,1639
846,2463,1628
847,2410,1631
848,2394,1606
849,2411,1594
850,2393,1629
851,2378,1624
852,2366,1622
853,2379,1624
854,2365,1646
855,2378,1627
856,2360,1608
857,2329,1608
858,2334,1607
859,2315,1594
860,2285,1629
861,2286,1644
862,2329,1610
863,2316,1609
864,2319,1613
865,2313,1613
866,2297,1598
867,2297,1613
868,2270,1615
869,2265,1622
870,2264,1642
871,2248,1611
872,2222,1607
873,2234,1609
874,2223,1628
875,2232,1645
876,2232,1625
877,2220,1625
878,2183,1611
879,2173,1594
880,2173,1612
881,2171,1596
882,2157,1582
883,2127,1595
884,2127,1598
885,2136,1608
886,2109,1576
887,2091,1583
888,2093,1579
889,2088,1591
890,2078,1576
891,2088,1583
892,2076,1581
893,2057,1592
894,2041,1579
895,2042,1580
896,2077,1598
897,2046,1596
898,2030,1595
899,1982,1578
900,1997,1607
901,2010,1592
902,2009,1576
903,2015,1578
904,2011,1591
905,2009,1598
906,1992,1581
907,2000,1577
908,1978,1593
909,1961,1575
910,1961,1607
911,1932,1593
912,1928,1581
913,1950,1579
914,1949,1595
915,1960,1598
916,1950,1594
917,1930,1592
918,1897,1594
919,1887,1595
920,1900,1610
921,1872,1608
922,1868,1593
923,1867,1594
924,1867,1594
925,1880,1591
926,1867,1581
927,1850,1579
928,1834,1568
929,1820,1581
930,1823,1591
931,1822,1609
932,1803,1582
933,1756,1593
934,1784,1607
935,1819,1594
936,1839,1594
937,1855,1608
938,1853,1594
939,1817,1580
940,1817,1609
941,1805,1597
942,1788,1580
943,1783,1566
944,1787,1592
945,1783,1592
946,1756,1568
947,1791,1567
948,1818,1580
949,1803,1592
950,1821,1609
951,1806,1611
952,1799,1593
953,1789,1593
954,1774,1597
955,1784,1608
956,1768,1581
957,1739,1582
958,1757,1581
959,1739,1581
960,1708,1581
961,1720,1597
