Counter,Channel1,Channel2
398,2271,1883
399,2350,1737
400,2376,1771
401,2456,1803
402,2397,1647
403,2442,1831
404,2239,1960
405,2123,2047
406,2108,2219
407,2187,2091
408,2271,1822
409,2329,1816
410,2493,1722
411,2473,1576
412,2473,1743
413,2296,1707
414,2252,1902
415,2158,2153
416,2175,2255
417,2256,2091
418,2392,1896
419,2376,1744
420,2332,1883
421,2383,1645
422,2396,1656
423,2474,1822
424,2359,1974
425,2204,2013
426,2218,2287
427,2284,2269
428,2413,1849
429,2333,1707
430,2335,1839
431,2479,1946
432,2446,1718
433,2407,1789
434,2318,1928
435,2186,2124
436,2125,2015
437,2216,2251
438,2334,1791
439,2392,1774
440,2407,1757
441,2397,1769
442,2382,1707
443,2330,1695
444,2223,1885
445,2166,2202
446,2184,2200
447,2256,2231
448,2255,1786
449,2444,1549
450,2426,1545
451,2347,1784
452,2256,1545
453,2336,1616
454,2344,1948
455,2073,2062
456,2189,2042
457,2089,2063
458,2139,1723
459,2301,1854
460,2281,1660
461,2283,1807
462,2394,1930
463,2231,1752
464,2030,1913
465,1944,2220
466,2031,2152
467,1998,2187
468,2078,1887
469,2108,1803
470,2123,1708
471,2090,1690
472,2120,1663
473,2062,1711
474,1932,1965
475,1806,2335
476,1754,2174
477,1822,2076
478,1885,2026
479,1920,1752
480,1903,1807
481,1871,1704
482,1867,1424
483,1879,1868
484,1774,1995
485,1647,2215
486,1584,2252
487,1576,2153
488,1786,1832
489,1737,1755
490,1711,1690
491,1706,1803
492,1657,1641
493,1755,1595
494,1517,1899
495,1452,2158
496,1402,2141
497,1496,2032
498,1549,1882
499,1579,1676
500,1597,1690
501,1599,1656
502,1563,1595
503,1532,1692
504,1433,1912
505,1326,2041
506,1306,2137
507,1369,2088
508,1465,1819
509,1502,1752
510,1487,1709
511,1499,1627
512,1483,1672
513,1464,1657
514,1370,1823
515,1244,2046
516,1242,2170
517,1287,2056
518,1420,1852
519,1468,1705
520,1454,1676
521,1439,1672
522,1419,1628
523,1420,1608
524,1320,1820
525,1208,2045
526,1207,2141
527,1248,2061
528,1384,1818
529,1452,1705
530,1436,1692
531,1423,1662
532,1435,1644
533,1422,1632
534,1325,1817
535,1228,2042
536,1212,2139
537,1278,2073
538,1401,1802
539,1453,1671
540,1449,1599
541,1452,1608
542,1469,1625
543,1455,1627
544,1374,1806
545,1260,2042
546,1242,2135
547,1320,2057
548,1448,1818
549,1487,1672
550,1483,1642
551,1482,1626
552,1478,1607
553,1471,1609
554,1369,1785
555,1256,2010
556,1243,2127
557,1323,2039
558,1453,1805
559,1512,1676
560,1514,1640
561,1515,1607
562,1534,1595
563,1544,1609
564,1439,1772
565,1324,1997
566,1310,2092
567,1389,2012
568,1527,1784
569,1582,1643
570,1577,1594
571,1594,1578
572,1594,1565
573,1581,1597
574,1483,1769
575,1374,1982
576,1358,2079
577,1422,2013
578,1560,1789
579,1615,1656
580,1625,1627
581,1627,1598
582,1627,1583
583,1624,1596
584,1529,1774
585,1435,2014
586,1406,2103
587,1482,2024
588,1611,1772
589,1657,1641
590,1656,1613
591,1661,1611
592,1662,1594
593,1671,1593
594,1576,1788
595,1451,2011
596,1434,2090
597,1496,2013
598,1629,1799
599,1694,1657
600,1689,1622
601,1689,1593
602,1690,1578
603,1689,1578
604,1595,1756
605,1484,2007
606,1465,2108
607,1519,2026
608,1642,1785
609,1710,1657
610,1708,1613
611,1708,1584
612,1711,1579
613,1708,1591
614,1608,1772
615,1484,1995
616,1464,2090
617,1527,2011
618,1674,1786
619,1726,1630
620,1725,1595
621,1726,1577
622,1727,1551
623,1724,1591
624,1629,1769
625,1512,2010
626,1480,2094
627,1551,2026
628,1679,1787
629,1725,1645
630,1739,1614
631,1752,1596
632,1742,1579
633,1738,1582
634,1655,1768
635,1535,2012
636,1512,2121
637,1566,2040
638,1694,1801
639,1758,1656
640,1758,1615
641,1757,1595
642,1758,1583
643,1752,1598
644,1656,1768
645,1548,2008
646,1519,2107
647,1594,2044
648,1719,1790
649,1767,1645
650,1755,1624
651,1759,1610
652,1757,1583
653,1755,1595
654,1662,1767
655,1560,2012
656,1532,2120
657,1607,2047
658,1725,1815
659,1788,1662
660,1787,1629
661,1785,1613
662,1782,1580
663,1772,1582
664,1680,1756
665,1566,2008
666,1544,2111
667,1599,2032
668,1737,1804
669,1800,1654
670,1799,1614
671,1790,1595
672,1788,1575
673,1784,1576
674,1692,1752
675,1580,1994
676,1561,2105
677,1613,2027
678,1742,1786
679,1805,1641
680,1808,1610
681,1814,1593
682,1815,1592
683,1806,1582
684,1724,1754
685,1607,1994
686,1579,2094
687,1656,2029
688,1774,1800
689,1835,1647
690,1833,1614
691,1834,1598
692,1848,1594
693,1838,1592
694,1741,1726
695,1612,1946
696,1561,2029
697,1597,1961
698,1720,1725
699,1757,1535
700,1754,1495
701,1741,1467
702,1722,1430
703,1706,1404
704,1599,1535
705,1469,1768
706,1436,1837
707,1483,1787
708,1598,1527
709,1646,1356
710,1628,1326
711,1623,1306
712,1608,1272
713,1584,1259
714,1486,1389
715,1353,1629
716,1319,1722
717,1372,1657
718,1497,1447
719,1533,1278
720,1511,1230
721,1501,1228
722,1485,1197
723,1468,1214
724,1376,1343
725,1243,1595
726,1211,1692
727,1261,1628
728,1386,1392
729,1437,1239
730,1438,1241
731,1422,1198
732,1406,1198
733,1402,1179
734,1324,1337
735,1198,1577
736,1176,1672
737,1225,1608
738,1336,1372
739,1389,1213
740,1401,1208
741,1400,1151
742,1389,1160
743,1373,1160
744,1279,1304
745,1164,1546
746,1142,1657
747,1194,1581
748,1325,1374
749,1401,1231
750,1389,1182
751,1385,1180
752,1388,1147
753,1374,1180
754,1308,1352
755,1200,1609
756,1176,1710
757,1210,1671
758,1327,1434
759,1389,1295
760,1400,1291
761,1400,1257
762,1402,1256
763,1407,1258
764,1318,1417
765,1196,1655
766,1165,1757
767,1216,1727
768,1338,1498
769,1406,1342
770,1420,1309
771,1415,1309
772,1417,1276
773,1416,1309
774,1336,1449
775,1210,1708
776,1193,1832
777,1245,1767
778,1366,1550
779,1432,1388
780,1423,1369
781,1448,1369
782,1450,1358
783,1438,1374
784,1359,1529
785,1255,1772
786,1223,1882
787,1274,1838
788,1404,1624
789,1481,1454
790,1470,1422
791,1470,1403
792,1481,1401
793,1484,1405
794,1403,1548
795,1290,1789
796,1261,1901
797,1319,1854
798,1449,1641
799,1516,1479
800,1526,1439
801,1528,1447
802,1530,1431
803,1528,1424
804,1450,1567
805,1338,1823
806,1310,1934
807,1359,1886
808,1482,1660
809,1535,1497
810,1533,1466
811,1532,1467
812,1528,1448
813,1518,1469
814,1431,1600
815,1304,1848
816,1263,1961
817,1323,1935
818,1432,1693
819,1495,1534
820,1485,1515
821,1486,1513
822,1483,1487
823,1465,1514
824,1375,1693
825,1255,1930
826,1208,2046
827,1246,1995
828,1371,1772
829,1449,1615
830,1438,1595
831,1434,1579
832,1421,1576
833,1406,1576
834,1326,1724
835,1199,1959
836,1178,2074
837,1216,2040
838,1340,1802
839,1408,1646
840,1415,1624
841,1389,1598
842,1400,1611
843,1391,1612
844,1327,1737
845,1227,1991
846,1194,2120
847,1231,2059
848,1341,1848
849,1422,1692
850,1416,1631
851,1416,1613
852,1419,1600
853,1415,1613
854,1335,1740
855,1226,1982
856,1196,2092
857,1232,2059
858,1352,1832
859,1420,1672
860,1433,1655
861,1439,1642
862,1454,1599
863,1436,1592
864,1338,1722
865,1231,1966
866,1213,2087
867,1273,2040
868,1390,1814
869,1469,1661
870,1466,1629
871,1468,1582
872,1483,1576
873,1482,1583
874,1403,1707
875,1291,1947
876,1259,2062
877,1319,2014
878,1439,1803
879,1517,1642
880,1515,1627
881,1513,1598
882,1513,1576
883,1514,1582
884,1448,1708
885,1338,1962
886,1303,2077
887,1355,2028
888,1480,1805
889,1551,1631
890,1551,1624
891,1536,1596
892,1551,1577
893,1549,1582
894,1477,1722
895,1355,1947
896,1323,2060
897,1369,2040
898,1498,1819
899,1564,1645
900,1566,1614
901,1581,1610
902,1591,1595
903,1580,1582
904,1518,1722
905,1416,1979
906,1385,2092
907,1431,2048
908,1544,1832
909,1614,1655
910,1615,1643
911,1622,1625
912,1614,1609
913,1614,1598
914,1543,1737
915,1422,1981
916,1392,2095
917,1450,2047
918,1575,1830
919,1646,1675
920,1632,1642
921,1640,1610
922,1642,1594
923,1641,1598
924,1575,1725
925,1454,1977
926,1432,2096
927,1478,2058
928,1595,1832
929,1672,1663
930,1673,1642
931,1675,1627
932,1688,1609
933,1679,1600
934,1612,1727
935,1497,1982
936,1453,2095
937,1500,2056
938,1626,1836
939,1707,1657
940,1708,1625
941,1706,1613
942,1695,1595
943,1694,1595
944,1625,1719
945,1500,1963
946,1468,2076
947,1513,2057
948,1641,1820
949,1708,1657
950,1706,1628
951,1710,1610
952,1710,1582
953,1709,1596
954,1642,1711
955,1518,1963
956,1482,2088
957,1527,2057
958,1644,1833
959,1724,1662
960,1718,1630
961,1710,1608
962,1719,1593
963,1721,1599
964,1655,1726
965,1530,1977
966,1485,2092
967,1526,2047
968,1645,1839
969,1724,1658
970,1738,1639
971,1736,1614
972,1736,1596
973,1735,1608
974,1656,1724
975,1534,1977
976,1503,2105
977,1546,2061
978,1663,1840
979,1739,1663
980,1740,1658
981,1738,1644
982,1741,1628
983,1741,1628
984,1672,1753
985,1560,1997
986,1515,2121
987,1562,2077
988,1675,1863
989,1755,1690
990,1752,1646
991,1739,1640
992,1751,1624
993,1743,1624
994,1687,1739
995,1563,1991
996,1528,2106
997,1578,2076
998,1692,1864
999,1771,1690
1000,1774,1647
1001,1773,1629
1002,1784,1610
1003,1784,1611
1004,1720,1737
1005,1596,1977
1006,1551,2092
1007,1593,2060
1008,1710,1852
1009,1800,1661
1010,1790,1628
1011,1801,1629
1012,1803,1610
1013,1789,1612
1014,1727,1722
1015,1608,1981
1016,1577,2094
1017,1610,2064
1018,1735,1854
1019,1817,1677
1020,1817,1645
1021,1816,1631
1022,1817,1625
1023,1806,1624
1024,1742,1725
1025,1624,1980
